date,ifs_n_credit,ifs_r_gdp,ifs_n_shares,ifs_n_bonds,ifs_prices,mps
6/30/1996,3523.74,2749.6001,35.01273,6.72,68.178345,4.037455662
9/30/1996,3598.6799,2774.3,35.02621,6.78,68.541306,5.718366977
12/31/1996,3636.6499,2803.1001,38.09065,6.343333333,69.034927,44.85601963
3/31/1997,3684,2821.2,40.89534,6.563333333,69.499519,10.66531764
6/30/1997,3768.6201,2868,42.63061,6.696666667,69.775368,9.061945423
9/30/1997,3812.05,2903.8999,47.93786,6.243333333,70.051216,7.715281337
12/31/1997,3873.8101,2928.8999,49.38295,5.906666667,70.327065,88.91681949
3/31/1998,3911.95,2958.1001,52.71678,5.586666667,70.515808,20.03056254
6/30/1998,3979.9299,2985.5,56.85257,5.596666667,70.89328,61.81416439
9/30/1998,4054.76,3022.8999,53.87644,5.203333333,71.169136,111.9433324
12/31/1998,4162.5,3071.8,54.52351,4.67,71.415947,43.98302799
3/31/1999,4192.48,3100.8,59.01668,4.983333333,71.691795,3.162838949
6/30/1999,4253.1899,3124.7,62.48504,5.54,72.38868,3.471892699
9/30/1999,4383.0298,3165.6001,61.98428,5.883333333,72.838745,69.83183907
12/31/1999,4534.0298,3219.3999,61.77666,6.14,73.288818,3.036903472
3/31/2000,4661.1001,3231.1001,61.47152,6.48,74.01474,4.684810936
6/30/2000,4822.6299,3290.2,63.89603,6.176666667,74.798729,38.5622962
9/30/2000,4930.5698,3294.6001,65.58514,5.893333333,75.393982,74.01246293
12/31/2000,5001.4902,3315.1001,63.95425,5.566666667,75.800499,50.05110212
3/31/2001,5025.1201,3305.7,62.78694,5.05,76.526421,77.6545385
6/30/2001,5064.4902,3325,62.13296,5.27,77.324928,47.04427828
9/30/2001,5092.2002,3311.2,58.41995,4.98,77.426559,37.05429223
12/31/2001,5141.75,3320.2,56.59628,4.77,77.208778,24.20670007
3/31/2002,5111.6099,3349.3,57.84077,5.076666667,77.484634,5.05985573
6/30/2002,5112.8398,3369.6001,56.37316,5.1,78.326698,2.940640307
9/30/2002,5242.0601,3384.5,47.90897,4.26,78.660622,13.95776442
12/31/2002,5333.6499,3389.8,46.98079,4.006666667,78.907433,36.17640597
3/31/2003,5415.1499,3408.6001,45.3238,3.92,79.705948,23.63533464
6/30/2003,5523.1499,3437.8999,49.42915,3.62,79.996315,30.7046335
9/30/2003,5608.8901,3496.3,52.73785,4.233333333,80.388306,75.77304683
12/31/2003,5707.8101,3536.3999,56.6192,4.286666667,80.402824,74.21703137
3/31/2004,5788.2402,3555.3,61.81828,4.02,81.128746,74.89656706
6/30/2004,5954.1299,3582.3999,60.96649,4.6,82.290215,46.99897185
9/30/2004,6098.0498,3616.3,60.41148,4.303333333,82.580582,64.12156395
